Region,Country,Site ID,Model,City,Location,WAN Prefix,Jira/Confluence name,ISP,ISPCkt ID,BW (Mb/s),MPLS provider,MPLSCkt ID,Rate,License Tier,EA,WAN2.0Installed by,SD-WAN migration,#Routers,RoutersSysIPs,Platform end of 2020,Stage 2/3Status,Comments,latitude,longitude,geohash
SAP,Malaysia,605406001,Sales-Mini,Kuala Lumpur,"Axis Communications Video Sdn Berhad:D-23-07, Menara Suezcap 1, KL Gateway Mall, No.2, Jalan Kerinchi, Gerbang Kerinchi Lestari 59200, KL",my,MY-KualaLumpur,,,10,,,,1.0,,,Bootstrap,1.0,60.0.60.1,ISR4331,,,3.1516964,101.6942371,w283f
SAP,Australia,604406101,Sales-Ordinary,Melbourne,"Level 43, 80 Collins Street,Melbourne, Victoria 3000, Australia",au,AU-Melbourne,,,400,,,,2.0,X,,SD-WAN native,2.0,60.0.61.160.0.61.2,ISR4331,DONE,,-37.8142176,144.9631608,r1r0f
SAP,Australia,605406102,Sales-Mini,Sydney,Planning,ausy,AU-Sydney,,,50 (C),,,,1.0,,,SD-WAN native,1.0,60.0.61.3,ISR4331,,Planning,-33.8548157,151.2164539,r3gx3
SAP,New Zealand,605406403,Sales-Mini,Wellington,Planning,nz,NZ-Wellington,,,50 (C),,,,1.0,,,SD-WAN native,1.0,60.0.61.5,ISR4331,,Planning,-41.2887953,174.7772114,rbsm1
SAP,Thailand,606206601,Production,Bangkadi,141-142 Moo 5:Tiwanon Road:Bangkadi:Pathumthani 12000:Thailand,thsvi,THSVI-Bangkadi,CSLOXINFO (see note 1),100Mbit → Link ID : 1900750Mbit → Link ID : 19006,100+50,,,,1.0,X,,Hot swap,2.0,60.0.66.10160.0.66.102,ISR4331,DONE,CLC2+SVI2SVI5 to be decommissioned,13.97488655,100.5650695522782,w4rx8
EUR,Sweden,106604603,Production,Lund,,clc1,CLC1-Lund,,,100 (RL),,,,1.0,P,,,2.0,10.0.46.10110.0.46.102,ISR4331,,,55.7029296,13.1929449,u3cku
EUR,Sweden,106604604,Production,Lund,,clcex,CLCEX-Lund,,,100 (RL),,,,1.0,P,,,2.0,10.0.46.10310.0.46.104,ISR4331,,,55.7029296,13.1929449,u3cku
EUR,Hungary,106403601,Production,Budapest,Flex:Bem Jozsef street 32:2360:Gyal:Hungary,clc3,CLC3-Budapest,,,10 (T),,,,1.0,X,,Hot swap,2.0,10.0.36.10110.0.36.102,ISR4331,DONE,,47.4979937,19.0403594,u2mw1
NAM,United States,306400101,Production,Atlanta,Scanfil Inc.:4345 Hamilton Mill Road:Suite 400:Buford:GA 30518:Buford:USA,clc4,CLC4-Atlanta,2020-06-25: soon AT&T,,100 (T),,,,1.0,,,Bootstrap,2.0,10.0.1.10110.0.1.102,ISR4331,,Lcon see ,33.7489924,-84.3902644,djgzz
NAM,United States,306400102,Production,Memphis,Flex:6380 Holmes Rd:Memphis TN:USA,clc7,CLC7-Memphis,AT&T,IUEC833413ATI,100,,,,1.0,X,,Hot swap,2.0,10.0.1.10310.0.1.104,ISR4331,DONE,,35.1490215,-90.0516285,9ypzy
